year,week,home_team,away_team,pred_diff,actual_diff,error,abs_error,home_rating,away_rating,hfa
2021,4,San Diego State,Towson,6.050274778684785,27,-20.949725221315216,20.949725221315216,-0.10660974633604092,0.0,6.156884525020826
2021,4,Baylor,Iowa State,6.106470308249767,2,4.106470308249767,4.106470308249767,-0.31670870309194177,-0.2662944863208826,6.156884525020826
2021,4,Duke,Kansas,5.877536302190143,19,-13.122463697809856,13.122463697809856,-0.5048518935804058,-0.2255036707497233,6.156884525020826
2021,4,Auburn,Georgia State,6.4019553364499195,10,-3.5980446635500805,3.5980446635500805,-0.30222660465335294,-0.5472974160824463,6.156884525020826
2021,4,Tulsa,Arkansas State,6.209149141343422,7,-0.7908508586565777,0.7908508586565777,-0.2655410936001208,-0.31780570992271734,6.156884525020826
2021,4,East Carolina,Charleston Southern,5.655666480106865,3,2.6556664801068646,2.6556664801068646,-0.5012180449139612,0.0,6.156884525020826
2021,4,Stanford,UCLA,6.2739498041515755,-11,17.273949804151577,17.273949804151577,-0.13671722796534816,-0.2537825070960976,6.156884525020826
2021,4,Old Dominion,Buffalo,6.482338784557727,-1,7.482338784557727,7.482338784557727,-0.05407061119409467,-0.37952487073099594,6.156884525020826
2021,4,Georgia Southern,Louisiana,5.721791333302062,-8,13.721791333302061,13.721791333302061,-0.5588702432877103,-0.12377705156894679,6.156884525020826
2021,4,Rice,Texas Southern,6.243211809374513,14,-7.756788190625487,7.756788190625487,-0.08609499363062457,-0.17242227798431164,6.156884525020826
2021,4,Louisiana Tech,North Texas,6.196462118112554,7,-0.8035378818874461,0.8035378818874461,-0.11441383802691686,-0.1539914311186451,6.156884525020826
2021,4,South Carolina,Kentucky,6.2290132785567645,-6,12.229013278556764,12.229013278556764,-0.1285619966066067,-0.2006907501425452,6.156884525020826
2021,4,Michigan State,Nebraska,6.242222711759446,3,3.242222711759446,3.242222711759446,-0.024031819942416984,-0.10937000668103714,6.156884525020826
2021,4,Oklahoma State,Kansas State,6.327382663410299,11,-4.672617336589701,4.672617336589701,-0.06628546161573126,-0.23678360000520446,6.156884525020826
2021,4,Florida,Tennessee,5.685824599761592,24,-18.31417540023841,18.31417540023841,-0.5940119282097827,-0.12295200295054848,6.156884525020826
2021,4,Houston,Navy,5.779521231160748,8,-2.2204787688392518,2.2204787688392518,-0.4826416170355891,-0.10527832317551163,6.156884525020826
2021,4,Oklahoma,West Virginia,6.150631411181791,3,3.1506314111817906,3.1506314111817906,-0.08132242675160417,-0.075069312912569,6.156884525020826
2021,4,Ohio State,Akron,6.339758034945693,52,-45.660241965054304,45.660241965054304,-0.09238276467180553,-0.2752562745966729,6.156884525020826
2021,4,Alabama,Southern Miss,6.033753119786323,49,-42.966246880213674,42.966246880213674,-0.2737648404697345,-0.15063343523523182,6.156884525020826
2021,4,Georgia Tech,North Carolina,-0.3882263571959568,23,-23.388226357195958,23.388226357195958,-0.536725113563904,-0.14849875636794715,6.156884525020826
2021,4,Tulane,UAB,6.178287326294055,-7,13.178287326294054,13.178287326294054,-0.2482860500638176,-0.26968885133704673,6.156884525020826
2021,4,Air Force,Florida Atlantic,6.494984718724357,24,-17.505015281275643,17.505015281275643,-0.2497859423568017,-0.5878861360603332,6.156884525020826
2021,4,New Mexico State,Hawai'i,6.521722668887889,-20,26.52172266888789,26.52172266888789,-0.15903700898616105,-0.5238751528532241,6.156884525020826
2021,4,UL Monroe,Troy,6.12828795694961,13,-6.87171204305039,6.87171204305039,-0.2408396605769329,-0.2122430925057166,6.156884525020826
2021,4,Western Kentucky,Indiana,6.432530645189177,-2,8.432530645189177,8.432530645189177,-0.060413981002625156,-0.33606010117097596,6.156884525020826
2021,4,UTEP,New Mexico,6.108134139447876,7,-0.8918658605521239,0.8918658605521239,-0.2020290421336314,-0.15327865656068201,6.156884525020826
2021,4,Washington,California,6.458312353280764,7,-0.541687646719236,0.541687646719236,-0.10880873216540145,-0.4102365604253394,6.156884525020826
2021,4,BYU,South Florida,5.941339633293531,8,-2.0586603667064693,2.0586603667064693,-0.32321296131450866,-0.10766806958721334,6.156884525020826
2021,4,Oregon,Arizona,6.414965695865981,22,-15.58503430413402,15.58503430413402,-0.052866822114028614,-0.31094799295918385,6.156884525020826
